Feat01,Feat02,Feat03,Feat04,Feat05,Feat06,Feat07,Feat08,Feat09,Feat10,Target
1,78462.38,402.61942,18564,629.59985,143.21642,0.0,14.498734,0.43496203,1.2335225,364
1,187251.38,519.7255,34776,402.84985,477.9393,0.38865072,0.0,0.12955023,1.2557936,828
0,1652905.8,13216.115,11295,768.3437,266.86755,0.26232725,13.116362,0.13116363,1.2534659,753
0,6237.66,4344.0264,32715,701.0364,618.4456,0.26354188,13.177094,0.39531282,1.2525897,727
1,13685.463,3973.8906,31860,1382.6062,87.44818,0.2749231,13.746154,0.13746154,1.24438,531
1,16690.41,6489.15,14660,2436.6575,618.7757,0.26325676,0.13162838,0.13162838,1.2527955,733
0,10091.4,5389.2607,18904,471.59305,7.03195,0.40979305,13.659768,0.13659768,1.2456262,556
1,4533.804,5979.9355,21186,430.7412,74.95893,0.26793173,13.396586,0.40189758,1.2494231,642
0,496828.53,1471.9785,4788,444.6077,68.98266,1.1397563,0.0,0.488467,1.207792,171
0,88154.79,728.00653,17532,1059.2677,381.98535,0.41734692,0.13911565,0.41734692,1.2419935,487
0,64054.035,511.95667,23268,423.66968,303.6117,0.40999487,13.666495,0.40999487,1.2455292,554
0,31934.232,4494.8076,13220,1748.2745,149.1576,0.5337779,0.13344447,0.4003334,1.2501754,661
1,23441.88,2902.8376,17346,914.50806,256.07956,0.5695209,0.14238022,0.42714065,1.2372838,413
0,142680.61,3905.7568,41820,1611.9476,532.72394,0.13474143,13.474143,0.40422428,1.2483042,615
0,3267170.2,4789.019,19624,1194.6548,868.392,0.25662524,12.831262,0.12831262,1.2575791,892
1,107088.07,7987.6274,25074,684.1403,576.15607,0.4058487,0.0,0.1352829,1.2475231,597
0,580986.0,793.80597,12870,179.37392,39.89516,0.3354104,0.0,0.1677052,1.2007476,143
0,23672.703,7007.412,20640,786.89264,542.5945,0.26547068,13.273534,0.13273534,1.2511984,688
1,992.376,295.98022,2520,190.82452,29.120895,0.6853679,0.0,0.17134197,1.1955009,126
1,121227.48,10881.87,55200,1455.9121,62.37482,0.12780575,0.0,0.12780575,1.2583103,920
1,64256.81,4752.726,14824,1461.643,107.087105,0.84773993,14.128999,0.14129,1.2388567,436
0,75471.4,6925.0728,15862,2148.1155,502.373,0.26383,0.0,0.395745,1.2523819,721
0,111914.55,6654.455,64878,219.46982,832.30835,0.0,0.0,0.38019878,1.2598581,983
1,7598.58,4145.646,5955,956.39325,274.45886,0.28637147,0.14318573,0.14318573,1.2361217,397
0,10372.516,6451.4844,25470,761.30414,113.08725,0.13626589,0.13626589,0.13626589,1.246105,566
0,38877.246,1360.4183,5865,772.11395,108.31684,0.6962658,0.0,0.5221994,1.1915702,115
1,25454.44,1900.6688,11480,307.34998,35.27305,0.65575206,0.0,0.49181405,1.2061825,164
1,996762.56,3013.9204,7104,929.05115,96.45573,0.1494688,0.0,0.4484064,1.2270571,296
1,15922.5,1866.0452,5250,570.1973,97.42408,0.34315243,0.0,0.17157622,1.1951629,125
1,1591730.2,2687.4297,4670,691.5259,85.20913,0.27986395,0.13993198,0.13993198,1.2408159,467
1,159646.55,4586.557,45252,1215.8257,197.95235,0.6467453,0.0,0.12934907,1.2560837,838
1,32127.314,6630.5317,9136,1242.5715,134.88942,0.9527194,0.13610277,0.4083083,1.2463403,571
1,26094.42,1237.0835,11460,1172.6892,227.89928,0.43193927,14.397976,0.43193927,1.2349762,382
1,2462187.0,7047.9077,15300,995.7108,475.20612,0.39267653,13.089218,0.39267653,1.2538575,765
0,7009.64,3610.1492,32220,963.2944,472.83896,0.66018105,13.203621,0.39610863,1.252207,716
1,10275.694,646.70306,2684,773.1753,3.070238,0.6891774,0.17229435,0.17229435,1.1941268,122
0,36697.188,14005.592,45604,1066.1107,429.30444,0.38577732,12.859244,0.38577732,1.2571753,877
1,103923.04,13552.333,25824,0.0,779.32855,0.3899485,0.12998283,0.3899485,1.2551695,807
1,8979.432,2589.4673,7684,826.8313,102.39534,0.62300104,0.15575026,0.4672508,1.2179949,226
1,140803.81,5273.0713,15918,584.03766,73.797295,0.57657355,14.414339,0.14414339,1.2347401,379
1,1008041.3,4516.4116,20202,789.5416,451.42145,0.6967799,0.0,0.13935597,1.2416469,481
0,100485.53,1707.1948,10032,1089.062,264.65753,0.5616011,14.040029,0.42120084,1.2401402,456
1,33160.71,3763.5784,13005,670.6862,55.301994,1.2230053,15.287566,0.458627,1.2221421,255
0,367851.25,4787.2847,34692,1381.9233,230.68874,0.5695209,14.238022,0.42714065,1.2372838,413
1,110210.32,7044.266,26410,1845.3997,143.10281,0.6627861,0.0,0.13255723,1.2514554,695
0,24698.365,907.87823,7980,456.66617,98.22798,0.7594749,0.0,0.45568493,1.2235569,266
1,259609.86,2517.8308,22440,820.4877,24.08977,0.26255667,13.127833,0.13127834,1.2533004,748
1,94467.914,205.49068,5044,650.0246,199.94429,0.28731483,0.14365742,0.43097222,1.2354412,388
0,1068312.4,3086.4941,11396,1160.7402,305.77808,0.27586302,13.793151,0.41379452,1.2437019,518
1,4635.84,9860.99,39510,2370.485,22.904617,0.1285736,0.1285736,0.1285736,1.2572025,878
0,765395.06,2780.609,3790,1401.6904,132.97116,0.57657355,0.14414339,0.14414339,1.2347401,379
0,2443987.0,1013.9391,29445,1868.4539,637.216,0.393354,0.131118,0.393354,1.2535317,755
1,17767.178,3588.4448,25530,1633.6266,563.64716,0.38727605,0.12909202,0.12909202,1.2564546,851
1,695.266,1143.0564,17765,191.44711,74.74471,0.0,16.048508,0.16048509,1.211164,187
0,200330.27,4637.092,8930,1075.7917,149.38423,0.25658834,12.829417,0.3848825,1.2576057,893
1,1277100.1,1015.80756,22295,833.4117,306.39844,0.43874207,0.14624736,0.43874207,1.2317047,343
1,765559.9,173.70366,17472,1650.9489,118.68621,0.0,0.14075005,0.14075005,1.2396356,448
0,62194.133,7459.327,6174,733.36487,0.13515733,0.13278665,0.0,0.39835995,1.2511244,686
1,9247.81,2967.5618,11310,953.6456,92.937065,0.29985544,0.14992772,0.44978315,1.2263951,290
1,1633261.2,1919.2986,28140,842.09735,380.93756,0.0,14.292958,0.14292958,1.2364912,402
1,24983.244,4821.1694,14904,1611.3994,629.1333,0.25910047,12.955024,0.38865072,1.2557936,828
1,11596.2,1940.279,16315,285.17365,225.19804,0.76623034,0.15324606,0.15324606,1.2216077,251
1,59466.0,5542.6357,38160,310.1532,794.8739,0.7814187,0.0,0.39070934,1.2548035,795
1,38469.72,1862.7343,7157,1641.4628,342.28247,0.42597705,0.14199235,0.14199235,1.2378434,421
0,1327054.8,5774.999,15008,173.25127,362.62085,0.2796967,0.13984835,0.41954505,1.2409365,469
1,222109.97,13006.1,26460,1291.1158,172.2892,0.3821079,12.736931,0.12736931,1.25894,945
0,1169897.6,3712.0693,22646,2006.8643,724.9434,0.2574121,0.12870605,0.12870605,1.2570114,871
1,83747.664,7125.315,14940,1609.5328,125.74291,0.25304452,0.12652226,0.12652226,1.260162,996
0,38488.297,5180.656,13767,375.7659,6.0492063,0.43690583,0.0,0.43690583,1.2325877,353
1,137816.94,6862.733,31416,1705.3516,171.9357,0.81858504,0.0,0.13643084,1.2458669,561
0,2735000.2,520.7776,0,532.1428,455.7269,0.12864913,0.12864913,0.12864913,1.2570935,874
1,163901.77,2083.094,31872,386.52295,28.046864,0.6668194,13.336388,0.13336387,1.2502916,664
1,1531233.0,734.55756,18208,333.9521,195.00972,0.40850338,0.0,0.1361678,1.2462465,569
0,47374.758,5506.206,15512,706.11615,391.02167,0.81998974,13.666495,0.40999487,1.2455292,554
1,175901.17,4195.5596,25788,1338.0673,408.249,0.26954195,0.0,0.40431294,1.2482616,614
1,1792488.4,8236.276,22016,1416.4067,310.23975,0.53094137,13.273534,0.39820603,1.2511984,688
0,245614.34,296.99063,6723,631.18933,165.87029,0.76717085,15.343417,0.46030253,1.2213364,249
0,113048.65,635.12946,35860,913.54254,622.675,0.25963277,0.0,0.12981638,1.2554096,815
1,53354.465,4854.286,17424,609.6819,299.73502,0.58018076,0.14504519,0.14504519,1.2334391,363
1,140.184,1218.4448,0,319.29922,150.43027,0.48573953,0.16191317,0.48573953,1.2091037,177
0,3742.508,6285.066,21112,341.94736,671.5299,0.77927136,0.12987855,0.12987855,1.2553198,812
1,187543.12,576.36694,2625,1124.4443,139.02522,0.4866349,0.16221163,0.16221163,1.2086731,175
0,119336.98,1878.0548,36720,374.123,404.67548,0.14147422,0.0,0.42442265,1.2385908,432
0,9810.801,1068.0896,1716,334.8313,25.59616,0.6708208,0.1677052,0.1677052,1.2007476,143
1,222755.98,5409.853,26544,1206.7013,523.4894,0.2684964,13.42482,0.1342482,1.2490158,632
0,47463.703,3971.9473,80892,1064.1842,334.1163,0.26793173,13.396586,0.40189758,1.2494231,642
0,92443.03,9815.7,0,763.67535,186.50862,0.26759824,0.0,0.40139735,1.2496637,648
1,101640.4,10170.735,43695,3739.3047,542.9876,0.253861,12.693051,0.1269305,1.259573,971
0,3003.0,865.81104,56000,384.5452,492.92474,0.1286302,12.86302,0.1286302,1.2571208,875
0,678384.56,563.5369,25564,0.0,517.2036,0.25586128,12.793064,0.38379192,1.2581302,913
0,2432039.0,4667.2354,10704,1241.5216,480.4428,0.6661529,0.13323058,0.13323058,1.250484,669
0,18.744,11034.4795,57936,758.91504,596.0077,1.0325797,0.12907246,0.12907246,1.2564828,852
1,33533.633,5216.241,48640,690.41437,408.062,0.26989916,13.494958,0.40484875,1.248004,608
0,67214.51,1021.1947,4340,1408.5453,180.41486,0.2968869,0.0,0.44533032,1.2285364,310
0,23828.111,564.87787,8232,266.0,90.92102,0.0,0.15928349,0.15928349,1.2128975,196
0,892013.94,3116.103,5904,1498.331,172.03796,0.43410334,0.14470112,0.43410334,1.2339355,369
0,10271.69,1180.766,1540,534.8925,21.433498,0.87711906,0.0,0.17542382,1.189612,110
0,14445.585,3681.4573,17055,214.14714,127.50722,0.43243018,0.14414339,0.14414339,1.2347401,379
1,46376.0,1458.8385,74400,1511.8096,738.8461,0.5063469,12.658671,0.12658672,1.260069,992
1,37329.863,7535.5034,113880,0.0,248.77437,0.25460166,0.0,0.12730083,1.2590388,949
0,11357.676,10023.381,18791,1415.1766,42.55735,0.12663527,12.663527,0.3799058,1.2599989,989
0,178841.12,3578.305,13608,190.4941,183.74284,0.612611,15.315274,0.15315275,1.2217424,252
0,1360837.9,7871.6797,31746,427.96027,410.45752,0.25967416,12.983707,0.12983708,1.2553798,814
0,247.104,8619.538,31680,1224.0,118.07898,0.13594146,13.594146,0.40782437,1.246573,576
0,5768.4,5808.3125,77520,0.0,651.4191,0.26200923,0.13100462,0.39301386,1.2536954,760
1,28470.816,800.6458,7224,1022.2035,464.5062,0.55202055,0.0,0.41401544,1.2435957,516
1,50397.6,2063.9395,14400,0.0,223.68541,1.2344462,0.0,0.46291733,1.2200788,240
1,293067.38,3910.686,8790,667.57245,24.167269,1.0478771,0.0,0.14969674,1.2267283,293
1,357.236,669.7238,22592,1913.0875,501.23325,0.6614093,0.0,0.13228187,1.2518526,706
1,7044.576,5153.4106,12768,829.5348,274.04007,0.39945364,13.315122,0.39945364,1.2505984,672
1,76983.48,1529.287,49476,1941.5458,335.73932,0.0,0.13553026,0.13553026,1.2471662,589
1,598.752,2738.7817,14112,476.23523,133.99615,0.3063055,0.0,0.15315275,1.2217424,252
0,1369155.1,332.32382,14892,1004.56555,14.522954,0.42359605,14.119868,0.42359605,1.2389884,438
1,59439.062,12395.203,16711,752.46796,624.1685,0.76039755,0.12673293,0.12673293,1.2598581,983
0,51971.04,13957.806,40530,994.0624,214.67278,0.2540609,0.0,0.12703045,1.2594289,965
0,125981.35,3481.9978,11960,727.95605,5.488995,0.31065166,15.532583,0.15532583,1.2186072,230
1,820531.56,3087.644,35520,729.9315,150.47359,0.406311,0.135437,0.406311,1.2473007,592
1,132557.56,8718.743,44928,1846.0422,114.752014,0.64734703,0.12946941,0.3884082,1.2559102,832
1,30571.256,318.99707,30030,695.22656,399.19992,0.39618173,0.0,0.39618173,1.2521719,715
1,44374.176,4679.344,14490,1212.1411,831.8138,0.508055,0.12701374,0.38104123,1.2594529,966
0,87605.76,4223.032,6588,803.5073,73.58325,0.72436124,14.487225,0.43461674,1.2336886,366
1,5642.164,13172.422,53992,929.8742,175.32092,0.2605156,0.1302578,0.1302578,1.2547728,794
1,955356.75,3692.6738,34704,2235.4812,687.60156,0.25409436,12.704719,0.12704718,1.2594047,964
0,330046.75,2109.1855,21204,970.7729,357.06705,0.54212105,13.553026,0.13553026,1.2471662,589
0,4162862.0,9958.677,17100,1109.5945,515.884,0.2545675,0.0,0.12728375,1.2590634,950
0,59289.12,3988.4216,0,787.8642,462.03592,0.40840572,0.13613525,0.13613525,1.2462934,570
1,48570.125,143.21558,10728,0.0,206.48282,0.89591104,0.0,0.1493185,1.227274,298
1,2564437.2,10898.851,13702,851.70416,17.339434,0.0,0.13000378,0.39001134,1.2551392,806
1,60605.39,263.92078,38430,805.89514,390.19193,0.56683046,14.170761,0.14170761,1.2382542,427
1,26012.447,3542.6104,15456,564.8504,205.44864,0.60419303,0.0,0.45314476,1.2247784,276
0,63860.742,3258.5933,49950,154.84186,139.08723,0.66655207,13.331041,0.39993122,1.2503687,666
0,7514.1,857.282,6210,686.32355,58.66841,0.17406645,0.17406645,0.17406645,1.1915702,115
1,2104684.0,2349.9553,12024,1253.4496,346.76556,0.2771386,13.856929,0.4157079,1.2427818,501
1,29988.09,998.9758,11340,197.18011,145.43533,0.45465416,0.0,0.45465416,1.2240525,270
1,271191.38,442.20056,3600,0.0,73.94669,0.86393213,0.0,0.51835924,1.193417,120
1,1947242.9,1281.1493,14600,540.37024,579.582,0.26339895,0.13169947,0.13169947,1.2526928,730
1,932614.44,3398.6926,3780,933.2267,17.57163,0.57679325,0.14419831,0.43259493,1.2346609,378
1,5180.175,7321.3413,46800,0.0,215.85304,0.27131107,0.0,0.13565554,1.2469854,585
1,5079.096,7786.296,7260,2909.994,677.84045,0.2635897,13.179484,0.39538455,1.2525553,726
1,1418419.8,4081.1882,27651,1278.0986,203.92613,0.5288308,0.0,0.39662313,1.2519597,709
1,2259.257,2135.1174,35685,675.8461,219.60368,0.6513959,0.0,0.39083755,1.2547419,793
0,19352.256,6595.5522,68544,1851.2698,230.56116,0.12724969,0.0,0.3817491,1.2591126,952
1,5895.12,799.4305,1100,377.5712,48.64129,0.35084763,0.0,0.17542382,1.189612,110
0,2826.516,1057.1388,5880,560.0,160.75624,0.31856698,0.15928349,0.47785047,1.2128975,196
0,31002.367,3554.2761,11037,571.9685,204.43092,0.4514369,0.15047897,0.15047897,1.2255998,283
1,19678.23,4832.567,0,367.5704,187.04703,0.42655528,0.0,0.42655528,1.2375653,417
1,5334.648,6580.7583,17368,1240.5934,195.62054,0.39977142,13.325714,0.13325714,1.2504456,668
0,106528.16,3599.3403,18238,0.0,377.451,0.38858995,12.952998,0.12952998,1.2558228,829
1,1871335.1,466.66565,7575,337.08307,127.27561,0.4152503,13.841677,0.13841677,1.2430018,505
1,62719.867,1402.1637,5627,0.0,137.72925,0.5880521,14.701303,0.4410391,1.2306001,331
0,21620.367,1210.6616,35280,896.0,120.10737,0.63713396,15.928349,0.47785047,1.2128975,196
1,28589.88,2342.865,6655,688.7089,588.39404,0.27007943,0.0,0.40511918,1.2478739,605
1,610.5,410.09418,7500,357.77087,86.55016,0.68630487,0.0,0.17157622,1.1951629,125
1,13239.072,10527.346,38208,1172.812,19.866825,0.6764145,0.0,0.4058487,1.2475231,597
0,77008.9,235.07965,15424,341.53183,180.97807,0.0,15.420683,0.4626205,1.2202216,241
1,25081.057,2141.7664,10296,900.8396,262.9285,0.14830187,0.14830187,0.14830187,1.2287407,312
0,125613.484,5151.177,8008,1726.8145,222.58939,0.26349416,0.13174708,0.39524123,1.2526242,728
1,3581796.0,11088.88,40995,422.55887,3.6673427,0.0,12.796654,0.3838996,1.2580783,911
0,68380.6,7453.3286,41776,491.634,59.440697,0.0,0.1313245,0.1313245,1.2532338,746
1,3764609.2,10743.556,32680,1714.9927,595.8629,0.38932526,12.977509,0.12977509,1.2554692,817
0,123853.62,7138.374,20696,789.97723,341.37384,0.39064538,0.0,0.39064538,1.2548343,796
0,2820248.5,1165.4484,0,655.69507,631.7614,0.40240377,0.0,0.40240377,1.2491797,636
0,283336.6,604.5159,10428,461.84412,206.6234,0.30921173,15.460586,0.15460587,1.219646,237
0,2196.15,4422.8438,44000,656.6582,81.97593,0.54720175,0.13680044,0.4104013,1.2453338,550
0,56508.31,1305.0432,4784,345.83234,240.68382,0.5969754,0.14924385,0.14924385,1.2273817,299
1,2046.462,1293.2412,88416,1638.791,419.28592,0.511152,0.0,0.38336405,1.258336,921
1,82228.58,6202.1533,0,577.2348,20.033058,0.14180195,0.0,0.42540586,1.238118,425
0,11377.08,3375.9685,15600,250.8386,187.22945,0.4135747,13.785823,0.4135747,1.2438077,520
0,3975.807,6772.6616,46512,622.5753,521.7762,0.25392747,12.696374,0.3808912,1.2595251,969
0,98762.4,10479.216,14620,967.74994,684.5429,0.5156678,0.12891695,0.12891695,1.2567072,860
0,42.592,862.6253,3872,143.0,19.94705,0.51761705,0.0,0.17253901,1.1937739,121
0,47388.926,3415.1094,13464,1094.4862,247.53023,0.14323746,0.0,0.14323746,1.236047,396
1,5508.063,1317.1099,4956,478.94885,40.33488,0.48573953,0.16191317,0.16191317,1.2091037,177
0,39223.6,797.9103,11484,696.56226,140.77278,0.44344646,14.7815485,0.14781548,1.2294424,319
0,86234.55,4292.7383,31560,2247.1316,618.8924,0.13036507,0.0,0.13036507,1.254618,789
0,68465.086,3715.8164,42210,693.00507,21.43925,0.41954505,0.13984835,0.13984835,1.2409365,469
0,762037.1,1144.4545,32240,762.84467,221.42372,0.14287885,0.0,0.42863655,1.2365644,403
0,195293.64,2899.24,11781,473.70877,118.39685,0.5457234,0.0,0.40929252,1.2458669,561
1,127061.62,7261.459,14672,686.7314,332.5544,0.41313824,0.13771275,0.13771275,1.2440175,524
0,1564.046,6403.5464,6182,355.59808,1.7510314,0.2727954,0.0,0.1363977,1.2459147,562
0,93011.49,10287.289,8541,358.84814,55.65983,0.40065792,0.0,0.13355264,1.2500193,657
1,88357.555,8657.255,0,3244.8228,74.50876,0.0,0.12719877,0.12719877,1.259186,955
0,2156896.0,13200.885,9072,934.84546,478.67267,0.0,0.13109525,0.13109525,1.2535646,756
1,3.674,4289.1465,7348,310.68634,23.288847,0.44045484,0.14681828,0.44045484,1.2308811,334
0,60504.445,1638.4524,8541,1537.9207,92.47362,0.53421056,0.13355264,0.13355264,1.2500193,657
0,5976.146,2861.5325,12122,445.9944,97.37613,0.2735329,0.13676645,0.13676645,1.2453828,551
1,146134.83,213.73102,23616,1066.5383,863.69714,0.0,0.1267166,0.1267166,1.2598816,984
1,1133483.5,487.1376,35448,493.02332,149.06091,0.99361175,0.0,0.4258336,1.2379124,422
0,1746.69,4305.9097,5628,781.9476,365.6891,0.28585917,14.292958,0.14292958,1.2364912,402
1,1187225.4,4769.118,23232,858.0,31.173168,0.417706,0.13923533,0.13923533,1.2418209,484
0,4130.676,3069.9983,18468,815.38214,152.04051,0.55246514,13.811628,0.41434884,1.2434354,513
0,10844.064,32.483734,5868,574.52155,146.79245,0.3282051,16.410255,0.16410255,1.2059451,163
1,339985.44,2551.8113,39606,583.4578,367.82602,0.12740369,0.12740369,0.12740369,1.2588904,943
1,132262.33,5221.412,10999,686.7773,282.89102,0.80296063,0.13382678,0.40148032,1.2496238,647
1,37015.703,5235.399,0,1825.5826,392.00256,0.27181882,13.590941,0.13590941,1.2466192,577
1,2709623.0,1947.8762,8385,1523.811,147.4209,0.0,0.0,0.13388224,1.2495438,645
0,262343.0,8781.672,11130,1144.0664,532.9755,0.52566916,0.13141729,0.13141729,1.2531,742
0,2161.808,144.5811,9656,0.0,190.65552,0.27240083,0.13620041,0.40860125,1.2461994,568
1,46214.023,6821.6675,15290,2109.0283,66.44571,0.26511446,0.0,0.13255723,1.2514554,695
1,47325.96,133.98189,2368,535.2831,137.8984,0.16674414,0.16674414,0.5002324,1.2021341,148
0,1682294.1,2866.398,41490,516.1957,679.94904,0.0,0.12777029,0.38331088,1.2583615,922
0,729512.2,1431.0721,5044,551.536,195.31358,0.28731483,0.14365742,0.43097222,1.2354412,388
1,68321.38,4134.085,4942,563.6488,280.2228,0.29127055,14.563528,0.14563528,1.2325877,353
1,168267.27,2890.282,53760,471.11783,565.4874,0.3924755,13.082516,0.13082516,1.2539543,768
0,1485.055,898.6008,8060,1045.7916,126.37675,0.6618763,0.0,0.16546908,1.2039737,155
1,195524.2,1242.59,27948,3899.1938,695.7955,0.25934482,0.12967241,0.12967241,1.2556173,822
0,358439.4,928.7133,6192,708.20337,292.87027,0.14371069,14.371069,0.14371069,1.2353643,387
1,16931.2,401.09302,6400,373.3524,105.339264,0.6835235,0.17088087,0.17088087,1.196166,128
0,940935.8,1269.8104,21252,968.99536,301.8981,0.73805624,0.0,0.14761125,1.229737,322
1,4384.71,5992.5312,27520,1493.0238,269.88962,0.2831343,14.156715,0.14156716,1.2384568,430
1,16064.048,1229.544,12036,737.39,3.825329,0.618828,0.154707,0.46412098,1.2195001,236
1,231943.81,1483.3888,11286,462.61862,25.023758,0.31534132,15.767066,0.47301197,1.2152244,209
0,80830.03,6415.486,0,1493.2167,297.69437,0.13215849,0.13215849,0.39647546,1.2520306,711
0,16975.332,1571.9856,5148,390.63025,2.0445926,0.50996107,16.998703,0.50996107,1.1974556,132
1,1297791.5,4091.2722,27900,323.6974,486.60944,0.53837836,0.0,0.40378374,1.2485161,620
0,26091.648,7346.5884,11136,870.5998,280.7475,0.2650639,13.253197,0.13253196,1.2514918,696
1,77058.125,7141.537,31776,771.8808,187.64343,0.53367025,13.341756,0.40025267,1.2502142,662
0,1687.422,11529.616,44915,1577.2128,291.0106,0.26531744,0.0,0.13265872,1.2513089,691
0,1227052.9,4691.6064,8070,1394.1036,18.094454,0.60654664,0.0,0.45490998,1.2239296,269
1,492.096,10721.188,22368,1190.6183,150.95224,0.5103777,0.0,0.3827833,1.2586151,932
0,637860.94,4146.444,19440,697.6532,268.03687,0.26387832,13.193915,0.39581746,1.2523471,720
1,27176.424,1859.081,3732,917.02997,158.98949,0.14837252,14.837251,0.44511753,1.2286388,311
0,12738.396,186.86232,3224,434.2856,116.912605,0.343626,0.0,0.515439,1.1948212,124
1,40229.31,1037.0208,8307,1240.5342,204.0261,0.6288031,0.15720077,0.4716023,1.2159023,213
1,204893.56,5583.144,23088,0.0,203.46,0.2567733,0.0,0.38515994,1.2574723,888
1,633.6,1152.8234,5184,156.0,90.05666,0.8375471,0.0,0.16750942,1.20103,144
0,694459.7,3863.4475,2968,1155.6816,176.21098,0.43376407,0.0,0.14458802,1.2340987,371
1,65075.01,5030.8877,24640,1331.9459,645.37427,0.39234197,13.078066,0.13078067,1.2540184,770
0,2352.9,8634.965,20700,527.54144,285.8151,0.5438943,0.13597357,0.40792072,1.2465266,575
0,4256.494,419.7102,38336,440.5406,30.934662,0.94655204,0.0,0.13522172,1.2476113,599
1,274005.84,2085.166,26610,1906.0829,758.2879,0.12840523,12.840523,0.38521567,1.2574455,887
1,87150.49,1501.3093,19656,262.28992,0.06940826,0.14575589,14.575589,0.14575589,1.2324138,351
1,184495.7,7745.036,29874,0.0,649.31665,1.0469584,0.1308698,0.1308698,1.2538898,766
